epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,99.2241,0.97114,0.5081,1.04887,0.99932,1,0.995,0.74951,1.01328,0.45889,1.09729,0.0014357,0.0014357,0.0014357
59,100.739,0.91046,0.49453,1.03295,0.99933,1,0.995,0.76227,0.9864,0.47058,1.06769,0.0014258,0.0014258,0.0014258
60,102.263,0.93075,0.50214,1.01536,1,0.99894,0.995,0.7544,0.97014,0.42567,1.0715,0.0014159,0.0014159,0.0014159
61,103.775,0.88069,0.47117,1.00077,0.99423,1,0.995,0.75565,1.00646,0.44145,1.09297,0.001406,0.001406,0.001406
62,105.299,0.86192,0.47875,0.99493,0.98832,1,0.9947,0.77279,0.98842,0.43522,1.08076,0.0013961,0.0013961,0.0013961
63,106.814,0.89572,0.47049,1.02434,0.98989,0.99935,0.9949,0.74477,1.02358,0.44527,1.10838,0.0013862,0.0013862,0.0013862
64,108.341,0.82097,0.46737,0.97945,0.99892,1,0.995,0.74196,0.97047,0.43029,1.08433,0.0013763,0.0013763,0.0013763
65,109.858,0.8829,0.47856,1.00029,0.9885,1,0.9946,0.77126,0.90063,0.44843,1.04899,0.0013664,0.0013664,0.0013664
66,111.386,0.89061,0.46466,0.99353,0.99907,1,0.995,0.76566,0.96589,0.43045,1.10283,0.0013565,0.0013565,0.0013565
67,112.901,0.87354,0.48134,1.01744,0.99919,1,0.995,0.77212,0.93305,0.41724,1.06205,0.0013466,0.0013466,0.0013466
68,114.427,0.86027,0.46612,0.99445,0.98718,0.9898,0.9944,0.7551,0.99822,0.43779,1.09111,0.0013367,0.0013367,0.0013367
69,115.945,0.89044,0.47448,1.01306,0.99934,1,0.995,0.73284,1.01325,0.44032,1.10339,0.0013268,0.0013268,0.0013268
70,117.472,0.86015,0.47319,0.9935,0.99938,1,0.995,0.7554,0.96318,0.42718,1.0764,0.0013169,0.0013169,0.0013169
71,118.988,0.84237,0.45537,0.97867,0.99984,1,0.995,0.75426,0.97055,0.42242,1.07862,0.001307,0.001307,0.001307
72,120.515,0.88263,0.47898,1.00739,0.99953,1,0.995,0.73774,0.99194,0.42467,1.08462,0.0012971,0.0012971,0.0012971
73,122.029,0.84147,0.47287,0.97745,0.99899,1,0.995,0.75087,0.93973,0.41608,1.06543,0.0012872,0.0012872,0.0012872
74,123.56,0.82109,0.44735,0.9743,0.98976,1,0.995,0.76366,0.91081,0.41253,1.04515,0.0012773,0.0012773,0.0012773
75,125.078,0.81592,0.4476,0.96182,0.99856,0.9898,0.9948,0.75047,0.99674,0.42932,1.10422,0.0012674,0.0012674,0.0012674
76,126.609,0.84723,0.45971,0.99315,0.99838,1,0.995,0.75949,0.96421,0.41807,1.08032,0.0012575,0.0012575,0.0012575
77,128.128,0.86448,0.45785,0.98152,1,0.99947,0.995,0.78088,0.92021,0.40633,1.05563,0.0012476,0.0012476,0.0012476
78,129.661,0.80544,0.45202,0.96347,0.99933,1,0.995,0.7624,0.9873,0.42151,1.08234,0.0012377,0.0012377,0.0012377
79,131.18,0.7934,0.46258,0.97044,0.99935,1,0.995,0.76789,0.96954,0.4124,1.07502,0.0012278,0.0012278,0.0012278
80,132.709,0.82052,0.45101,0.98717,0.99908,1,0.995,0.75879,0.97692,0.40724,1.1001,0.0012179,0.0012179,0.0012179
81,134.224,0.82835,0.4452,0.99603,1,0.99927,0.995,0.78262,0.93454,0.41309,1.06288,0.001208,0.001208,0.001208
82,135.755,0.77397,0.42876,0.96866,0.99967,1,0.995,0.77502,0.9474,0.41856,1.06522,0.0011981,0.0011981,0.0011981
83,137.271,0.79356,0.42798,0.97967,1,0.99961,0.995,0.78475,0.919,0.39711,1.04964,0.0011882,0.0011882,0.0011882
84,138.803,0.80233,0.4524,0.96152,0.99908,1,0.995,0.77008,0.95332,0.42455,1.07424,0.0011783,0.0011783,0.0011783
85,140.321,0.77214,0.43442,0.9631,0.99907,1,0.995,0.77806,0.94945,0.40054,1.0798,0.0011684,0.0011684,0.0011684
86,141.85,0.84064,0.45598,0.99981,0.99937,1,0.995,0.76137,0.96856,0.41421,1.07754,0.0011585,0.0011585,0.0011585
87,143.365,0.81428,0.43378,0.96798,0.99918,1,0.995,0.76938,0.92905,0.40313,1.05965,0.0011486,0.0011486,0.0011486
88,144.891,0.73977,0.41697,0.95402,0.99943,1,0.995,0.75253,0.95398,0.40886,1.08594,0.0011387,0.0011387,0.0011387
89,146.411,0.77902,0.44306,0.96685,0.99931,1,0.995,0.74761,0.95329,0.4055,1.07967,0.0011288,0.0011288,0.0011288
90,147.942,0.78788,0.4411,0.9601,0.99935,1,0.995,0.75714,0.96694,0.40864,1.08254,0.0011189,0.0011189,0.0011189
91,149.461,0.77818,0.43023,0.96775,0.99916,1,0.995,0.77202,0.94587,0.41339,1.07179,0.001109,0.001109,0.001109
92,150.995,0.76633,0.43363,0.95434,0.99945,1,0.995,0.77704,0.95423,0.39088,1.07905,0.0010991,0.0010991,0.0010991
93,152.512,0.77043,0.43085,0.95896,0.99951,1,0.995,0.7752,0.9678,0.42344,1.0748,0.0010892,0.0010892,0.0010892
94,154.044,0.76033,0.43572,0.97151,1,0.99953,0.995,0.76356,0.93774,0.40125,1.06117,0.0010793,0.0010793,0.0010793
95,155.56,0.75556,0.41195,0.96014,0.99972,1,0.995,0.75814,0.9632,0.41152,1.0757,0.0010694,0.0010694,0.0010694
96,157.089,0.74996,0.42944,0.95386,0.9999,1,0.995,0.77609,0.92256,0.38867,1.05219,0.0010595,0.0010595,0.0010595
97,158.602,0.76115,0.41905,0.95105,0.99951,1,0.995,0.77751,0.94144,0.39408,1.05466,0.0010496,0.0010496,0.0010496
98,160.131,0.81275,0.43783,0.96835,0.99934,1,0.995,0.75255,0.99696,0.40402,1.09268,0.0010397,0.0010397,0.0010397
99,161.645,0.76711,0.42265,0.96297,0.99916,1,0.995,0.76732,0.95504,0.40454,1.07317,0.0010298,0.0010298,0.0010298
100,163.183,0.75545,0.41868,0.95511,0.99861,1,0.995,0.75894,0.9534,0.41257,1.08098,0.0010199,0.0010199,0.0010199
101,164.7,0.72797,0.39984,0.92013,0.99905,1,0.995,0.76885,0.92986,0.38976,1.06814,0.00101,0.00101,0.00101
102,166.231,0.73142,0.41086,0.94206,0.99774,1,0.995,0.78041,0.90364,0.39186,1.05656,0.0010001,0.0010001,0.0010001
103,167.749,0.7351,0.41002,0.93578,0.99895,1,0.995,0.77654,0.89599,0.38295,1.0562,0.0009902,0.0009902,0.0009902
104,169.283,0.71257,0.40962,0.93679,0.99975,1,0.995,0.77117,0.90608,0.39508,1.05069,0.0009803,0.0009803,0.0009803
105,170.801,0.72726,0.41417,0.94893,1,0.99956,0.995,0.78457,0.91504,0.38071,1.04154,0.0009704,0.0009704,0.0009704
106,172.331,0.72816,0.40487,0.94143,0.99918,1,0.995,0.77639,0.93655,0.38754,1.05696,0.0009605,0.0009605,0.0009605
107,173.85,0.69997,0.40697,0.93977,0.99892,1,0.995,0.79491,0.89509,0.38657,1.03596,0.0009506,0.0009506,0.0009506
108,175.385,0.71903,0.4228,0.96001,0.99903,1,0.995,0.77018,0.92272,0.38959,1.07439,0.0009407,0.0009407,0.0009407
109,176.903,0.73517,0.41456,0.93778,0.99923,1,0.995,0.7645,0.91379,0.39677,1.06723,0.0009308,0.0009308,0.0009308
110,178.439,0.72029,0.40642,0.94108,0.99925,1,0.995,0.77051,0.92532,0.40089,1.06246,0.0009209,0.0009209,0.0009209
111,179.957,0.74312,0.40412,0.94484,0.99934,1,0.995,0.75673,0.92775,0.38244,1.06054,0.000911,0.000911,0.000911
112,181.484,0.72205,0.40696,0.92808,0.98986,1,0.995,0.78564,0.89994,0.39496,1.04134,0.0009011,0.0009011,0.0009011
113,182.997,0.70063,0.4065,0.94381,0.99924,1,0.995,0.79102,0.88864,0.37482,1.0326,0.0008912,0.0008912,0.0008912
114,184.524,0.69976,0.39321,0.92788,0.99917,1,0.995,0.78056,0.92275,0.38986,1.04643,0.0008813,0.0008813,0.0008813
115,186.041,0.70141,0.39401,0.93218,0.99934,1,0.995,0.77044,0.91364,0.38905,1.04508,0.0008714,0.0008714,0.0008714
116,187.577,0.69548,0.40124,0.94282,0.99934,1,0.995,0.77728,0.9143,0.382,1.0578,0.0008615,0.0008615,0.0008615
117,189.092,0.68372,0.3952,0.93126,0.99937,1,0.995,0.79434,0.87085,0.36647,1.03473,0.0008516,0.0008516,0.0008516
118,190.623,0.67771,0.38531,0.92467,0.99719,1,0.995,0.78313,0.89725,0.39058,1.05495,0.0008417,0.0008417,0.0008417
119,192.136,0.71068,0.39598,0.92435,0.99932,1,0.995,0.76344,0.93611,0.38064,1.07392,0.0008318,0.0008318,0.0008318
120,193.663,0.69139,0.41034,0.92224,0.99933,1,0.995,0.77302,0.90147,0.37501,1.04714,0.0008219,0.0008219,0.0008219
121,195.18,0.67185,0.37954,0.91747,0.99944,1,0.995,0.78191,0.8846,0.38496,1.03514,0.000812,0.000812,0.000812
122,196.707,0.69998,0.41023,0.93307,0.99919,1,0.995,0.77103,0.87539,0.37657,1.03749,0.0008021,0.0008021,0.0008021
