epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,28.0632,0.54939,0.81262,0.87311,0.89338,0.81818,0.85244,0.64235,0.8962,0.95702,1.03359,0.0013169,0.0013169,0.0013169
71,28.3351,0.67848,0.6985,0.86431,0.89455,0.81818,0.85261,0.69111,0.84047,0.90263,1.00821,0.001307,0.001307,0.001307
72,28.6062,0.60329,0.74835,0.85153,0.89526,0.81818,0.86165,0.70769,0.75429,0.85261,0.95797,0.0012971,0.0012971,0.0012971
73,28.8855,0.62367,0.63806,0.87359,0.89417,0.81818,0.87071,0.71173,0.69387,0.80083,0.92728,0.0012872,0.0012872,0.0012872
74,29.1581,0.62681,0.68924,0.87861,0.88583,0.81818,0.87572,0.74761,0.66733,0.80434,0.91895,0.0012773,0.0012773,0.0012773
75,29.4362,0.71146,0.75656,0.91769,0.83261,0.90474,0.88159,0.74412,0.61546,0.78289,0.90494,0.0012674,0.0012674,0.0012674
76,29.7081,0.60551,0.65027,0.8563,0.8322,0.90231,0.87273,0.72964,0.60369,0.73326,0.89206,0.0012575,0.0012575,0.0012575
77,29.9781,0.63193,0.74211,0.86214,0.88805,0.81818,0.85795,0.73583,0.59264,0.72593,0.88557,0.0012476,0.0012476,0.0012476
78,30.3656,0.67192,0.65773,0.85443,0.89026,0.81818,0.83488,0.72493,0.57531,0.78342,0.88375,0.0012377,0.0012377,0.0012377
79,30.6352,0.64864,0.68784,0.87702,0.89172,0.81818,0.83576,0.74447,0.59736,0.81015,0.89519,0.0012278,0.0012278,0.0012278
80,30.9046,0.67972,0.63452,0.88711,0.89152,0.81818,0.81793,0.71047,0.6126,0.81336,0.90929,0.0012179,0.0012179,0.0012179
81,31.1838,0.69576,0.66381,0.89211,0.88869,0.81818,0.82193,0.69624,0.61456,0.87937,0.92116,0.001208,0.001208,0.001208
82,31.7103,0.57622,0.58051,0.8657,0.88503,0.81818,0.82207,0.74064,0.50645,0.83383,0.8941,0.0011981,0.0011981,0.0011981
83,31.9816,0.59706,0.6536,0.84969,0.88089,0.81818,0.80831,0.71277,0.51266,0.85985,0.90679,0.0011882,0.0011882,0.0011882
84,32.2519,0.59889,0.564,0.88588,0.87704,0.81818,0.80842,0.72477,0.53087,0.79235,0.91224,0.0011783,0.0011783,0.0011783
85,32.5211,0.5163,0.55672,0.8406,0.88287,0.81818,0.80864,0.70185,0.55488,0.75452,0.91432,0.0011684,0.0011684,0.0011684
86,32.791,0.65925,0.63145,0.90212,0.88651,0.81818,0.79902,0.71762,0.57379,0.74033,0.92157,0.0011585,0.0011585,0.0011585
87,33.068,0.58594,0.57009,0.84949,0.8881,0.81818,0.79883,0.71121,0.54211,0.70832,0.91179,0.0011486,0.0011486,0.0011486
88,33.3388,0.66312,0.63416,0.8905,0.89114,0.81818,0.81289,0.684,0.5415,0.68867,0.89424,0.0011387,0.0011387,0.0011387
89,33.6104,0.59267,0.60503,0.89237,0.89324,0.81818,0.80325,0.65889,0.59473,0.74908,0.89514,0.0011288,0.0011288,0.0011288
90,33.8801,0.61052,0.6471,0.89598,0.83126,0.90909,0.80897,0.67758,0.60179,0.75325,0.892,0.0011189,0.0011189,0.0011189
91,34.1505,0.61748,0.58183,0.89481,0.82281,0.90909,0.8184,0.67432,0.58914,0.81266,0.89913,0.001109,0.001109,0.001109
92,34.4261,0.54002,0.59336,0.87933,0.89415,0.81818,0.81257,0.66808,0.61059,0.8326,0.89539,0.0010991,0.0010991,0.0010991
93,34.697,0.5247,0.62901,0.87452,0.89419,0.81818,0.82155,0.72725,0.59121,0.76624,0.89138,0.0010892,0.0010892,0.0010892
94,34.9742,0.63741,0.67627,0.90263,0.89458,0.81818,0.83632,0.73875,0.57898,0.76527,0.89156,0.0010793,0.0010793,0.0010793
95,35.2447,0.55063,0.53257,0.86202,0.90853,0.90344,0.8397,0.73421,0.60005,0.79003,0.89447,0.0010694,0.0010694,0.0010694
96,35.5167,0.65573,0.68376,0.88151,0.90846,0.90278,0.8397,0.73487,0.61373,0.86577,0.89986,0.0010595,0.0010595,0.0010595
97,35.788,0.68405,0.64239,0.92506,0.89334,0.81818,0.83039,0.74304,0.58132,0.8606,0.88351,0.0010496,0.0010496,0.0010496
98,36.0587,0.63001,0.61628,0.87663,0.89219,0.81818,0.83039,0.74304,0.54901,0.9103,0.88721,0.0010397,0.0010397,0.0010397
99,36.3302,0.52809,0.55144,0.85922,0.89086,0.81818,0.83615,0.74377,0.54378,0.82589,0.89262,0.0010298,0.0010298,0.0010298
100,36.6025,0.60007,0.6143,0.86028,0.88873,0.81818,0.82544,0.71981,0.51786,0.76617,0.88776,0.0010199,0.0010199,0.0010199
101,36.8738,0.57979,0.60568,0.8342,0.8849,0.81818,0.82544,0.76089,0.50293,0.77969,0.89564,0.00101,0.00101,0.00101
102,37.1447,0.64582,0.59157,0.8509,0.88056,0.81818,0.83039,0.77121,0.53397,0.77074,0.90309,0.0010001,0.0010001,0.0010001
103,37.4198,0.64018,0.60709,0.88837,0.8832,0.81818,0.8304,0.73365,0.61862,0.7826,0.94259,0.0009902,0.0009902,0.0009902
104,37.692,0.62605,0.59053,0.85094,0.88723,0.81818,0.81647,0.72047,0.68397,0.80413,0.97594,0.0009803,0.0009803,0.0009803
105,37.9634,0.59087,0.56633,0.87752,0.88945,0.81818,0.82547,0.72042,0.69449,0.82062,0.97828,0.0009704,0.0009704,0.0009704
106,38.234,0.54151,0.59489,0.8737,0.89094,0.81818,0.83042,0.72926,0.6064,0.75306,0.9317,0.0009605,0.0009605,0.0009605
107,38.5056,0.53562,0.52464,0.879,0.89165,0.81818,0.83942,0.76446,0.49259,0.63307,0.87606,0.0009506,0.0009506,0.0009506
108,38.7783,0.52185,0.52319,0.85699,0.89231,0.81818,0.82142,0.75395,0.43641,0.60097,0.8626,0.0009407,0.0009407,0.0009407
109,39.0519,0.49817,0.57974,0.88464,0.83145,0.89777,0.8182,0.76606,0.45593,0.62736,0.87028,0.0009308,0.0009308,0.0009308
110,39.3222,0.58576,0.60104,0.84586,0.83152,0.8982,0.8182,0.76472,0.49784,0.67377,0.88225,0.0009209,0.0009209,0.0009209
111,39.5934,0.55776,0.53805,0.84432,0.83162,0.89881,0.8182,0.7514,0.52252,0.67698,0.88999,0.000911,0.000911,0.000911
112,39.8651,0.54717,0.5334,0.8683,0.8318,0.89989,0.8087,0.74315,0.50257,0.64642,0.87526,0.0009011,0.0009011,0.0009011
113,40.1362,0.46657,0.51807,0.83344,0.83267,0.90509,0.81821,0.74355,0.49769,0.65496,0.87059,0.0008912,0.0008912,0.0008912
114,40.4068,0.55005,0.50272,0.86067,0.82549,0.90909,0.81821,0.74877,0.52404,0.66918,0.87344,0.0008813,0.0008813,0.0008813
115,40.6781,0.54739,0.5505,0.8495,0.9083,0.9012,0.83976,0.75507,0.52329,0.69662,0.87748,0.0008714,0.0008714,0.0008714
116,40.9498,0.47713,0.50218,0.87502,0.90868,0.90502,0.84,0.75198,0.54186,0.70206,0.87916,0.0008615,0.0008615,0.0008615
117,41.2201,0.58678,0.54768,0.85131,0.909,0.90822,0.84825,0.77146,0.50928,0.6864,0.87426,0.0008516,0.0008516,0.0008516
118,41.4901,0.49845,0.54871,0.86834,0.90874,0.90909,0.85615,0.78478,0.50302,0.64568,0.87537,0.0008417,0.0008417,0.0008417
119,41.7655,0.55588,0.53353,0.85364,0.90892,0.90743,0.85616,0.77848,0.51655,0.64465,0.88502,0.0008318,0.0008318,0.0008318
120,42.0356,0.50391,0.54558,0.86659,0.90869,0.9051,0.85617,0.77623,0.52894,0.65321,0.89589,0.0008219,0.0008219,0.0008219
121,42.3062,0.48049,0.50122,0.84761,0.82289,0.90909,0.84528,0.75811,0.53482,0.66081,0.90486,0.000812,0.000812,0.000812
122,42.5772,0.49492,0.48029,0.86401,0.82854,0.90909,0.8453,0.78222,0.53524,0.64623,0.9092,0.0008021,0.0008021,0.0008021
123,42.8486,0.47003,0.52706,0.82015,0.83081,0.90909,0.84533,0.78995,0.52473,0.66422,0.91436,0.0007922,0.0007922,0.0007922
124,43.1236,0.48419,0.46276,0.84598,0.83272,0.90909,0.83636,0.78589,0.51303,0.68868,0.91134,0.0007823,0.0007823,0.0007823
125,43.3969,0.46212,0.48573,0.84952,0.83171,0.90909,0.82737,0.76782,0.52038,0.67715,0.90704,0.0007724,0.0007724,0.0007724
126,43.6675,0.44523,0.48197,0.83444,0.83081,0.90909,0.82739,0.76784,0.49652,0.6316,0.88756,0.0007625,0.0007625,0.0007625
127,43.9369,0.47919,0.49184,0.81691,0.82993,0.90909,0.84541,0.77746,0.51566,0.65933,0.90113,0.0007526,0.0007526,0.0007526
128,44.2073,0.4706,0.46602,0.84625,0.82815,0.90909,0.83643,0.76639,0.50555,0.65969,0.90477,0.0007427,0.0007427,0.0007427
129,44.4773,0.41905,0.476,0.81837,0.8274,0.90909,0.82744,0.76275,0.48486,0.63954,0.899,0.0007328,0.0007328,0.0007328
130,44.7468,0.49609,0.51528,0.82719,0.83331,0.90909,0.81845,0.74633,0.47448,0.62989,0.89571,0.0007229,0.0007229,0.0007229
131,45.0171,0.51899,0.46293,0.8539,0.83053,0.89227,0.82748,0.76846,0.45321,0.62875,0.8901,0.000713,0.000713,0.000713
132,45.2871,0.49362,0.49906,0.82561,0.89111,0.81818,0.82175,0.77324,0.46938,0.66934,0.90398,0.0007031,0.0007031,0.0007031
133,45.5577,0.47855,0.47978,0.83975,0.89147,0.81818,0.82176,0.76336,0.44858,0.6356,0.88782,0.0006932,0.0006932,0.0006932
134,45.8275,0.52827,0.48674,0.89875,0.89169,0.81818,0.82177,0.76247,0.47522,0.63451,0.89114,0.0006833,0.0006833,0.0006833
135,46.0975,0.44235,0.42987,0.84232,0.89109,0.81818,0.82176,0.76277,0.47977,0.61232,0.87962,0.0006734,0.0006734,0.0006734
136,46.367,0.45394,0.50267,0.86603,0.8899,0.81818,0.83079,0.74503,0.47313,0.59094,0.86341,0.0006635,0.0006635,0.0006635
137,46.6386,0.41523,0.47831,0.8367,0.89027,0.81818,0.82181,0.73696,0.47232,0.58171,0.85641,0.0006536,0.0006536,0.0006536
138,46.9082,0.48804,0.46875,0.85087,0.89051,0.81818,0.82185,0.74754,0.45755,0.60606,0.85315,0.0006437,0.0006437,0.0006437
139,47.1766,0.39382,0.41644,0.83755,0.89088,0.81818,0.82189,0.76051,0.41618,0.61573,0.84946,0.0006338,0.0006338,0.0006338
140,47.4469,0.51148,0.45629,0.85375,0.89141,0.81818,0.81295,0.78742,0.3804,0.59715,0.84598,0.0006239,0.0006239,0.0006239
141,47.7176,0.49422,0.53663,0.8441,0.89121,0.81818,0.81299,0.76324,0.36768,0.60385,0.84157,0.000614,0.000614,0.000614
142,47.9868,0.46997,0.52334,0.84813,0.88975,0.81818,0.81296,0.76321,0.37658,0.63113,0.84572,0.0006041,0.0006041,0.0006041
143,48.2561,0.44583,0.46833,0.8554,0.88754,0.81818,0.81296,0.77798,0.42776,0.64959,0.85769,0.0005942,0.0005942,0.0005942
144,48.5256,0.4474,0.48383,0.86897,0.88745,0.81818,0.81299,0.77803,0.45185,0.66245,0.86073,0.0005843,0.0005843,0.0005843
145,48.797,0.42276,0.42804,0.827,0.88805,0.81818,0.81302,0.7577,0.46732,0.69136,0.86081,0.0005744,0.0005744,0.0005744
146,49.0678,0.44699,0.4362,0.83078,0.88891,0.81818,0.81305,0.76972,0.4824,0.69909,0.86349,0.0005645,0.0005645,0.0005645
147,49.3378,0.46509,0.45131,0.81936,0.88914,0.81818,0.81306,0.76974,0.45266,0.6393,0.85622,0.0005546,0.0005546,0.0005546
148,49.6076,0.42924,0.41655,0.8047,0.88952,0.81818,0.80362,0.75695,0.42323,0.6316,0.85547,0.0005447,0.0005447,0.0005447
149,49.8775,0.41035,0.4551,0.87195,0.8893,0.81818,0.81315,0.76656,0.41824,0.63706,0.86519,0.0005348,0.0005348,0.0005348
150,50.1474,0.41792,0.4391,0.84433,0.88946,0.81818,0.81319,0.7666,0.41704,0.63041,0.86932,0.0005249,0.0005249,0.0005249
151,50.417,0.41257,0.4077,0.85602,0.88967,0.81818,0.79878,0.7509,0.41713,0.61897,0.87128,0.000515,0.000515,0.000515
152,50.6877,0.45245,0.41829,0.84963,0.89076,0.81818,0.79883,0.74036,0.43248,0.62361,0.8726,0.0005051,0.0005051,0.0005051
153,50.9575,0.42748,0.45961,0.8141,0.89166,0.81818,0.79457,0.7374,0.46188,0.64495,0.87555,0.0004952,0.0004952,0.0004952
154,51.2266,0.39177,0.4071,0.84572,0.89209,0.81818,0.79461,0.73745,0.4895,0.68619,0.88748,0.0004853,0.0004853,0.0004853
155,51.4966,0.39662,0.40458,0.85607,0.89218,0.81818,0.78204,0.71761,0.49226,0.70444,0.89389,0.0004754,0.0004754,0.0004754
156,51.7671,0.44249,0.42552,0.89421,0.89235,0.81818,0.76372,0.70479,0.47024,0.70731,0.89005,0.0004655,0.0004655,0.0004655
157,52.0359,0.46253,0.52253,0.87337,0.89272,0.81818,0.74839,0.69155,0.45197,0.72893,0.88523,0.0004556,0.0004556,0.0004556
158,52.3056,0.41141,0.43569,0.83426,0.89306,0.81818,0.74536,0.7,0.44411,0.73309,0.88622,0.0004457,0.0004457,0.0004457
159,52.5752,0.36986,0.37682,0.83729,0.89358,0.81818,0.74079,0.70938,0.43635,0.72841,0.88701,0.0004358,0.0004358,0.0004358
160,52.8457,0.3901,0.40687,0.80118,0.89367,0.81818,0.73933,0.70861,0.43508,0.75924,0.89167,0.0004259,0.0004259,0.0004259
